province,unit_number,unit_description,order,candidate_name,votes,votes_raw,percent,percent_raw
THÀNH PHỐ HÀ NỘI,6,"Gồm quận Hà Đông và các huyện: Thanh Trì, Thanh Oai.",5,Ông Lương Thế Huy,101479,101.479,17.69,"17,69"
THÀNH PHỐ HÀ NỘI,7,"Gồm thị xã Sơn Tây và các huyện: Phúc Thọ, Ba Vì, Đan Phượng.",1,Bà Phạm Thị Thanh Mai,469844,469.844,80.61,"80,61"
THÀNH PHỐ HÀ NỘI,7,"Gồm thị xã Sơn Tây và các huyện: Phúc Thọ, Ba Vì, Đan Phượng.",2,Ông Trần Việt Anh,453841,453.841,77.86,"77,86"
THÀNH PHỐ HÀ NỘI,7,"Gồm thị xã Sơn Tây và các huyện: Phúc Thọ, Ba Vì, Đan Phượng.",3,Bà Trần Thị Nhị Hà,434962,434.962,74.62,"74,62"
THÀNH PHỐ HÀ NỘI,7,"Gồm thị xã Sơn Tây và các huyện: Phúc Thọ, Ba Vì, Đan Phượng.",4,Ông Nguyễn Trung Thành,233201,233.201,40.01,"40,01"
THÀNH PHỐ HÀ NỘI,7,"Gồm thị xã Sơn Tây và các huyện: Phúc Thọ, Ba Vì, Đan Phượng.",5,Bà Ngô Thanh Thủy,142306,142.306,24.41,"24,41"
THÀNH PHỐ HÀ NỘI,8,"Gồm các huyện: Quốc Oai, Chương Mỹ và Thạch Thất.",1,Ông Khuất Việt Dũng,392631,392.631,74.69,"74,69"
THÀNH PHỐ HÀ NỘI,8,"Gồm các huyện: Quốc Oai, Chương Mỹ và Thạch Thất.",2,Bà Nguyễn Thị Lan,371796,371.796,70.73,"70,73"
THÀNH PHỐ HÀ NỘI,8,"Gồm các huyện: Quốc Oai, Chương Mỹ và Thạch Thất.",3,Ông Lê Nhật Thành,366170,366.170,69.66,"69,66"
THÀNH PHỐ HÀ NỘI,8,"Gồm các huyện: Quốc Oai, Chương Mỹ và Thạch Thất.",4,Bà Hoàng Thị Mai Hương,244710,244.710,46.55,"46,55"
THÀNH PHỐ HÀ NỘI,8,"Gồm các huyện: Quốc Oai, Chương Mỹ và Thạch Thất.",5,Ông Hoàng Văn Tỉnh,183529,183.529,34.91,"34,91"
THÀNH PHỐ HÀ NỘI,9,"Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín.",1,Ông Tạ Đình Thi,465243,465.243,75.55,"75,55"
THÀNH PHỐ HÀ NỘI,9,"Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín.",2,Bà Nguyễn Phương Thủy,459227,459.227,74.57,"74,57"
THÀNH PHỐ HÀ NỘI,9,"Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín.",3,Ông Nguyễn Tuấn Thịnh,455425,455.425,73.96,"73,96"
THÀNH PHỐ HÀ NỘI,9,"Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín.",4,Ông Bùi Văn Thanh,230402,230.402,37.42,"37,42"
THÀNH PHỐ HÀ NỘI,9,"Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín.",5,Ông Đỗ Anh Hùng,212878,212.878,34.57,"34,57"
THÀNH PHỐ HÀ NỘI,10,Gồm các huyện: Sóc Sơn và Mê Linh.,1,Ông Hoàng Văn Cường,308708,308.708,76.7,"76,70"
THÀNH PHỐ HÀ NỘI,10,Gồm các huyện: Sóc Sơn và Mê Linh.,2,Ông Nguyễn Anh Trí,262000,262.000,65.09,"65,09"
THÀNH PHỐ HÀ NỘI,10,Gồm các huyện: Sóc Sơn và Mê Linh.,3,Ông Phan Huy Cương,223064,223.064,55.42,"55,42"
THÀNH PHỐ HỒ CHÍ MINH,1,Gồm thành phố Thủ Đức.,1,Ông Nguyễn Anh Tuấn,432761,432.761,63.96,"63,96"
THÀNH PHỐ HỒ CHÍ MINH,1,Gồm thành phố Thủ Đức.,2,Ông Vũ Hải Quân,412269,412.269,60.93,"60,93"
THÀNH PHỐ HỒ CHÍ MINH,1,Gồm thành phố Thủ Đức.,3,Ông Nguyễn Thanh Sang,406159,406.159,60.03,"60,03"
THÀNH PHỐ HỒ CHÍ MINH,1,Gồm thành phố Thủ Đức.,4,Ông Phan Nguyễn Như Khuê (Út Khuê),389169,389.169,57.52,"57,52"
THÀNH PHỐ HỒ CHÍ MINH,1,Gồm thành phố Thủ Đức.,5,Ông Lê Viết Hải,343309,343.309,50.74,"50,74"
THÀNH PHỐ HỒ CHÍ MINH,2,"Gồm các quận: Quận 1, Quận 3 và quận Bình Thạnh.",1,Bà Trần Kim Yến,365579,365.579,64.96,"64,96"
THÀNH PHỐ HỒ CHÍ MINH,2,"Gồm các quận: Quận 1, Quận 3 và quận Bình Thạnh.",2,Ông Nguyễn Sỹ Quang,364468,364.468,64.76,"64,76"
THÀNH PHỐ HỒ CHÍ MINH,2,"Gồm các quận: Quận 1, Quận 3 và quận Bình Thạnh.",3,Ông Đỗ Đức Hiển,339255,339.255,60.28,"60,28"
THÀNH PHỐ HỒ CHÍ MINH,2,"Gồm các quận: Quận 1, Quận 3 và quận Bình Thạnh.",4,Ông Hứa Quốc Hưng,308141,308.141,54.76,"54,76"
THÀNH PHỐ HỒ CHÍ MINH,2,"Gồm các quận: Quận 1, Quận 3 và quận Bình Thạnh.",5,Bà Nguyễn Thị Hiệp,279608,279.608,49.69,"49,69"
THÀNH PHỐ HỒ CHÍ MINH,3,"Gồm các quận: Quận 5, Quận 8 và Quận 11.",1,Ông Nguyễn Tri Thức,427742,427.742,73.32,"73,32"
THÀNH PHỐ HỒ CHÍ MINH,3,"Gồm các quận: Quận 5, Quận 8 và Quận 11.",2,Ông Lê Minh Trí,408859,408.859,70.09,"70,09"
THÀNH PHỐ HỒ CHÍ MINH,3,"Gồm các quận: Quận 5, Quận 8 và Quận 11.",3,Ông Lê Thanh Phong,384405,384.405,65.89,"65,89"
THÀNH PHỐ HỒ CHÍ MINH,3,"Gồm các quận: Quận 5, Quận 8 và Quận 11.",4,Ông Trần Kim Tuyền,276086,276.086,47.33,"47,33"
THÀNH PHỐ HỒ CHÍ MINH,3,"Gồm các quận: Quận 5, Quận 8 và Quận 11.",5,Ông Trịnh Chí Cường,224348,224.348,38.46,"38,46"
THÀNH PHỐ HỒ CHÍ MINH,4,Gồm các quận: Quận 10 và Quận 12.,1,Bà Văn Thị Bạch Tuyết,360012,360.012,68.18,"68,18"
THÀNH PHỐ HỒ CHÍ MINH,4,Gồm các quận: Quận 10 và Quận 12.,2,Ông Trần Hoàng Ngân,350720,350.720,66.42,"66,42"
THÀNH PHỐ HỒ CHÍ MINH,4,Gồm các quận: Quận 10 và Quận 12.,3,Bà Nguyễn Thị Hồng Hạnh,288634,288.634,54.66,"54,66"
THÀNH PHỐ HỒ CHÍ MINH,4,Gồm các quận: Quận 10 và Quận 12.,4,Ông Đỗ Khắc Hưởng,281687,281.687,53.35,"53,35"
THÀNH PHỐ HỒ CHÍ MINH,4,Gồm các quận: Quận 10 và Quận 12.,5,Ông Phan Anh Sơn,277078,277.078,52.48,"52,48"
THÀNH PHỐ HỒ CHÍ MINH,5,Gồm các quận: Tân Bình và quận Tân Phú.,1,Ông Nguyễn Minh Đức,297993,297.993,65.33,"65,33"
THÀNH PHỐ HỒ CHÍ MINH,5,Gồm các quận: Tân Bình và quận Tân Phú.,2,Ông Trần Anh Tuấn,289135,289.135,63.39,"63,39"
THÀNH PHỐ HỒ CHÍ MINH,5,Gồm các quận: Tân Bình và quận Tân Phú.,3,Bà Trần Thị Diệu Thúy,276856,276.856,60.7,"60,70"
THÀNH PHỐ HỒ CHÍ MINH,5,Gồm các quận: Tân Bình và quận Tân Phú.,4,Ông Nguyễn Văn Kính,251728,251.728,55.19,"55,19"
THÀNH PHỐ HỒ CHÍ MINH,5,Gồm các quận: Tân Bình và quận Tân Phú.,5,Bà Ung Thị Xuân Hương,227318,227.318,49.84,"49,84"
THÀNH PHỐ HỒ CHÍ MINH,6,Gồm quận Bình Tân.,1,Ông Nguyễn Thiện Nhân,256919,256.919,72.3,"72,30"
THÀNH PHỐ HỒ CHÍ MINH,6,Gồm quận Bình Tân.,2,Ông Dương Ngọc Hải,220854,220.854,62.15,"62,15"
THÀNH PHỐ HỒ CHÍ MINH,6,Gồm quận Bình Tân.,3,Ông Hà Phước Thắng,210595,210.595,59.26,"59,26"
THÀNH PHỐ HỒ CHÍ MINH,6,Gồm quận Bình Tân.,4,Bà Lê Thị Thu Hương,186874,186.874,52.59,"52,59"
THÀNH PHỐ HỒ CHÍ MINH,6,Gồm quận Bình Tân.,5,Bà Nguyễn Thị Minh Hồng,167940,167.940,47.26,"47,26"
THÀNH PHỐ HỒ CHÍ MINH,7,Gồm các quận: Phú Nhuận và Gò Vấp.,1,Bà Phạm Khánh Phong Lan,321583,321.583,65.49,"65,49"
THÀNH PHỐ HỒ CHÍ MINH,7,Gồm các quận: Phú Nhuận và Gò Vấp.,2,Bà Phan Thị Thanh Phương,318659,318.659,64.89,"64,89"
THÀNH PHỐ HỒ CHÍ MINH,7,Gồm các quận: Phú Nhuận và Gò Vấp.,3,Ông Nguyễn Minh Hoàng,295496,295.496,60.17,"60,17"
THÀNH PHỐ HỒ CHÍ MINH,7,Gồm các quận: Phú Nhuận và Gò Vấp.,4,Bà Nguyễn Thị Yến (Ni sư Thích Nữ Tín Liên),271116,271.116,55.21,"55,21"
THÀNH PHỐ HỒ CHÍ MINH,7,Gồm các quận: Phú Nhuận và Gò Vấp.,5,Ông Nguyễn Hồng Sơn,242431,242.431,49.37,"49,37"
THÀNH PHỐ HỒ CHÍ MINH,8,Gồm Quận 6 và huyện Bình Chánh.,1,Bà Tô Thị Bích Châu,332521,332.521,61.07,"61,07"
THÀNH PHỐ HỒ CHÍ MINH,8,Gồm Quận 6 và huyện Bình Chánh.,2,Ông Đặng Văn Lẫm,320808,320.808,58.92,"58,92"
THÀNH PHỐ HỒ CHÍ MINH,8,Gồm Quận 6 và huyện Bình Chánh.,3,Ông Trương Trọng Nghĩa,316303,316.303,58.09,"58,09"
THÀNH PHỐ HỒ CHÍ MINH,8,Gồm Quận 6 và huyện Bình Chánh.,4,Bà Nguyễn Thanh Xuân,314793,314.793,57.82,"57,82"
THÀNH PHỐ HỒ CHÍ MINH,8,Gồm Quận 6 và huyện Bình Chánh.,5,Ông Tăng Phước Lộc,296037,296.037,54.37,"54,37"
THÀNH PHỐ HỒ CHÍ MINH,9,"Gồm các quận: Quận 4, Quận 7 và các huyện: Nhà Bè, Cần Giờ.",1,Ông Trần Lưu Quang,346950,346.950,68.55,"68,55"
THÀNH PHỐ HỒ CHÍ MINH,9,"Gồm các quận: Quận 4, Quận 7 và các huyện: Nhà Bè, Cần Giờ.",2,Ông Dương Văn Thăng,337044,337.044,66.59,"66,59"
THÀNH PHỐ HỒ CHÍ MINH,9,"Gồm các quận: Quận 4, Quận 7 và các huyện: Nhà Bè, Cần Giờ.",3,Bà Nguyễn Trần Phượng Trân,322585,322.585,63.73,"63,73"
THÀNH PHỐ HỒ CHÍ MINH,9,"Gồm các quận: Quận 4, Quận 7 và các huyện: Nhà Bè, Cần Giờ.",4,Ông Lâm Đình Thắng,245159,245.159,48.44,"48,44"
THÀNH PHỐ HỒ CHÍ MINH,9,"Gồm các quận: Quận 4, Quận 7 và các huyện: Nhà Bè, Cần Giờ.",5,Ông Lê Hoài Nam,237404,237.404,46.9,"46,90"
THÀNH PHỐ HỒ CHÍ MINH,10,Gồm các huyện: Củ Chi và Hóc Môn.,1,Ông Nguyễn Xuân Phúc,622984,622.984,96.65,"96,65"
THÀNH PHỐ HỒ CHÍ MINH,10,Gồm các huyện: Củ Chi và Hóc Môn.,2,Bà Nguyễn Thị Lệ,550676,550.676,85.43,"85,43"
THÀNH PHỐ HỒ CHÍ MINH,10,Gồm các huyện: Củ Chi và Hóc Môn.,3,Ông Phan Văn Xựng,446709,446.709,69.3,"69,30"
THÀNH PHỐ HỒ CHÍ MINH,10,Gồm các huyện: Củ Chi và Hóc Môn.,4,Ông Nguyễn Thanh Hiệp,167742,167.742,26.02,"26,02"
THÀNH PHỐ HỒ CHÍ MINH,10,Gồm các huyện: Củ Chi và Hóc Môn.,5,Ông Trần Đức Cường,126294,126.294,19.59,"19,59"
THÀNH PHỐ HẢI PHÒNG,1,"Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vĩ.",1,Ông Nguyễn Hồng Diên,513537,513.537,97.03,"97,03"
THÀNH PHỐ HẢI PHÒNG,1,"Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vĩ.",2,Ông Nguyễn Đức Dũng,494416,494.416,93.42,"93,42"
THÀNH PHỐ HẢI PHÒNG,1,"Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vĩ.",3,Ông Tống Văn Băng,479424,479.424,90.59,"90,59"
THÀNH PHỐ HẢI PHÒNG,1,"Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vĩ.",4,Bà Mai Thị Huệ,46024,46.024,8.7,"8,70"
THÀNH PHỐ HẢI PHÒNG,1,"Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vĩ.",5,Bà Phạm Thị Lý,44787,44.787,8.46,"8,46"
THÀNH PHỐ HẢI PHÒNG,2,"Gồm các quận: Ngô Quyền, Hải An, Đồ Sơn và các huyện: An Dương, Kiến Thụy.",1,Ông Nguyễn Minh Quang,442264,442.264,91.49,"91,49"
THÀNH PHỐ HẢI PHÒNG,2,"Gồm các quận: Ngô Quyền, Hải An, Đồ Sơn và các huyện: An Dương, Kiến Thụy.",2,Ông Nguyễn Chu Hồi,422225,422.225,87.35,"87,35"
THÀNH PHỐ HẢI PHÒNG,2,"Gồm các quận: Ngô Quyền, Hải An, Đồ Sơn và các huyện: An Dương, Kiến Thụy.",3,Ông Lã Thanh Tân,413896,413.896,85.62,"85,62"
THÀNH PHỐ HẢI PHÒNG,2,"Gồm các quận: Ngô Quyền, Hải An, Đồ Sơn và các huyện: An Dương, Kiến Thụy.",4,Bà Nguyễn Thị Thanh Diệp,82921,82.921,17.15,"17,15"
THÀNH PHỐ HẢI PHÒNG,2,"Gồm các quận: Ngô Quyền, Hải An, Đồ Sơn và các huyện: An Dương, Kiến Thụy.",5,Bà Đỗ Thị Phương Chung,79744,79.744,16.5,"16,50"
THÀNH PHỐ HẢI PHÒNG,3,"Gồm các quận: Kiến An, Dương Kinh và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo.",1,Ông Vương Đình Huệ,499461,499.461,99.89,"99,89"
THÀNH PHỐ HẢI PHÒNG,3,"Gồm các quận: Kiến An, Dương Kinh và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo.",2,Ông Đỗ Văn Hiến (Đỗ Mạnh Hiến),485850,485.850,97.17,"97,17"
THÀNH PHỐ HẢI PHÒNG,3,"Gồm các quận: Kiến An, Dương Kinh và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo.",3,Ông Vũ Thanh Chương,471828,471.828,94.37,"94,37"
THÀNH PHỐ HẢI PHÒNG,3,"Gồm các quận: Kiến An, Dương Kinh và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo.",4,Bà Nguyễn Thị Lan Hương,20922,20.922,4.18,"4,18"
THÀNH PHỐ HẢI PHÒNG,3,"Gồm các quận: Kiến An, Dương Kinh và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo.",5,Bà Nguyễn Hồng Vân,19145,19.145,3.83,"3,83"
THÀNH PHỐ ĐÀ NẴNG,1,"Gồm các quận: Hải Châu, Thanh Khê và Liên Chiểu.",1,Ông Võ Văn Thưởng,304963,304.963,83.04,"83,04"
THÀNH PHỐ ĐÀ NẴNG,1,"Gồm các quận: Hải Châu, Thanh Khê và Liên Chiểu.",2,Ông Trần Đình Chung,293773,293.773,79.99,"79,99"
THÀNH PHỐ ĐÀ NẴNG,1,"Gồm các quận: Hải Châu, Thanh Khê và Liên Chiểu.",3,Ông Trần Chí Cường,270103,270.103,73.55,"73,55"
THÀNH PHỐ ĐÀ NẴNG,1,"Gồm các quận: Hải Châu, Thanh Khê và Liên Chiểu.",4,Bà Nguyễn Thị Thùy Thuận,117076,117.076,31.88,"31,88"
THÀNH PHỐ ĐÀ NẴNG,1,"Gồm các quận: Hải Châu, Thanh Khê và Liên Chiểu.",5,Bà Lê Thị Lý,108105,108.105,29.44,"29,44"
THÀNH PHỐ ĐÀ NẴNG,2,"Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Cẩm Lệ và các huyện: Hoàng Sa, Hòa Vang.",1,Ông Nguyễn Văn Quảng,302596,302.596,79.64,"79,64"
THÀNH PHỐ ĐÀ NẴNG,2,"Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Cẩm Lệ và các huyện: Hoàng Sa, Hòa Vang.",2,Bà Nguyễn Thị Kim Thúy,277640,277.640,73.07,"73,07"
THÀNH PHỐ ĐÀ NẴNG,2,"Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Cẩm Lệ và các huyện: Hoàng Sa, Hòa Vang.",3,Ông Nguyễn Duy Minh,269512,269.512,70.93,"70,93"
THÀNH PHỐ ĐÀ NẴNG,2,"Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Cẩm Lệ và các huyện: Hoàng Sa, Hòa Vang.",4,Bà Lê Thị Xuân Nga,164349,164.349,43.26,"43,26"
THÀNH PHỐ ĐÀ NẴNG,2,"Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Cẩm Lệ và các huyện: Hoàng Sa, Hòa Vang.",5,Bà Nguyễn Thị Dung,117310,117.310,30.87,"30,87"
THÀNH PHỐ CẦN THƠ,1,"Gồm các huyện: Ninh Kiều, Cái Răng và Phong Điền.",1,Ông Phạm Minh Chính,335484,335.484,98.74,"98,74"
THÀNH PHỐ CẦN THƠ,1,"Gồm các huyện: Ninh Kiều, Cái Răng và Phong Điền.",2,Ông Nguyễn Văn Thuận,275276,275.276,81.02,"81,02"
THÀNH PHỐ CẦN THƠ,1,"Gồm các huyện: Ninh Kiều, Cái Răng và Phong Điền.",3,Ông Đào Chí Nghĩa,240777,240.777,70.86,"70,86"
THÀNH PHỐ CẦN THƠ,1,"Gồm các huyện: Ninh Kiều, Cái Răng và Phong Điền.",4,Bà Nguyễn Thị Kim Thoa,79298,79.298,23.34,"23,34"
THÀNH PHỐ CẦN THƠ,1,"Gồm các huyện: Ninh Kiều, Cái Răng và Phong Điền.",5,Bà Dư Thị Mỹ Hân,78519,78.519,23.11,"23,11"
THÀNH PHỐ CẦN THƠ,2,"Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai.",1,Ông Lê Quang Mạnh,242889,242.889,82.97,"82,97"
THÀNH PHỐ CẦN THƠ,2,"Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai.",2,Bà Trương Thị Ngọc Ánh,200106,200.106,68.36,"68,36"
THÀNH PHỐ CẦN THƠ,2,"Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai.",3,Bà Lê Thị Đức Hạnh,74972,74.972,25.61,"25,61"
THÀNH PHỐ CẦN THƠ,2,"Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai.",4,Bà Nguyễn Thị Thúy Hằng,63936,63.936,21.84,"21,84"
THÀNH PHỐ CẦN THƠ,3,"Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ.",1,Ông Nguyễn Thanh Phương,217313,217.313,69.54,"69,54"
THÀNH PHỐ CẦN THƠ,3,"Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ.",2,Ông Nguyễn Mạnh Hùng,198133,198.133,63.4,"63,40"
THÀNH PHỐ CẦN THƠ,3,"Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ.",3,Ông Nguyễn Thiện Thức (Nguyễn Thành Phúc),100527,100.527,32.17,"32,17"
THÀNH PHỐ CẦN THƠ,3,"Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ.",4,Bà Dương Thị Thu Hà,98796,98.796,31.61,"31,61"
TỈNH AN GIANG,1,"Gồm thành phố Long Xuyên và các huyện: Thoại Sơn, Châu Thành.",1,Bà Võ Thị Ánh Xuân,434620,434.620,89.35,"89,35"
TỈNH AN GIANG,1,"Gồm thành phố Long Xuyên và các huyện: Thoại Sơn, Châu Thành.",2,Ông Trình Lam Sinh,339365,339.365,69.77,"69,77"
TỈNH AN GIANG,1,"Gồm thành phố Long Xuyên và các huyện: Thoại Sơn, Châu Thành.",3,Ông Nguyễn Văn Thạnh (Lâm),334738,334.738,68.82,"68,82"
TỈNH AN GIANG,1,"Gồm thành phố Long Xuyên và các huyện: Thoại Sơn, Châu Thành.",4,Bà Nguyễn Thị Phương Linh,174080,174.080,35.79,"35,79"
TỈNH AN GIANG,1,"Gồm thành phố Long Xuyên và các huyện: Thoại Sơn, Châu Thành.",5,Ông Lê Xuân Quế (Hai Quế),158465,158.465,32.58,"32,58"
TỈNH AN GIANG,2,"Gồm thị xã Tân Châu và các huyện: Chợ Mới, Phú Tân.",1,Bà Trần Thị Thanh Hương,427539,427.539,75.69,"75,69"
TỈNH AN GIANG,2,"Gồm thị xã Tân Châu và các huyện: Chợ Mới, Phú Tân.",2,Ông Hoàng Hữu Chiến,416100,416.100,73.67,"73,67"
